id_tenant,sleep_schedule,work_shift,energy_rhythm,education_level,budget,languages_spoken,social_level,cleanliness_rating,likes_reading,likes_cooking,cooking_preference,on_diet,smoker,likes_pets,pet_allergy,frequent_visits,remote_worker,plays_sports,listens_loud_music,preferred_music_genre,ideal_weekend_plan,noise_tolerance,shares_common_items,relationship_status
1,Early bird,Morning,High,Bachelor's,615,Italian,Extrovert,5,Yes,No,Order,Yes,No,Yes,No,No,Yes,Yes,No,Reggaeton,Family Time,Low,No,Relationship
2,Night owl,Night,Low,Master's,467,"Italian, Spanish",Extrovert,1,No,Yes,Cook,No,No,No,No,No,No,No,No,Techno,Family Time,Low,Yes,Relationship
3,Early bird,Morning,Medium,PhD,692,Spanish,Introvert,3,No,Yes,Order,No,No,No,No,Yes,No,No,Yes,Pop,Family Time,Low,Yes,Relationship
4,Night owl,Night,Medium,Bachelor's,649,"French, German, English",Introvert,4,No,No,Cook,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Pop,Chill,Low,Yes,Single
5,Early bird,Morning,High,PhD,535,"French, Italian, German",Introvert,2,No,Yes,Order,Yes,Yes,No,No,Yes,Yes,Yes,No,None,Chill,Medium,Yes,Single
6,Early bird,Morning,Low,Bachelor's,396,"Italian, French",Extrovert,3,Yes,No,Order,Yes,Yes,No,Yes,No,No,No,Yes,Rock,Hike,Medium,No,Single
7,Flexible,Night,High,Master's,1182,German,Introvert,4,No,Yes,Order,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Techno,Travel,High,No,Relationship
8,Flexible,Night,High,PhD,897,Italian,Extrovert,2,No,Yes,Cook,No,No,No,No,Yes,Yes,Yes,No,Reggaeton,Chill,High,Yes,Relationship
9,Night owl,Morning,Low,High School,443,German,Balanced,4,Yes,Yes,Cook,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,None,Travel,Low,No,Single
10,Early bird,Afternoon,Medium,Bachelor's,771,"French, Italian",Extrovert,1,No,Yes,Cook,Yes,Yes,Yes,Yes,No,No,Yes,No,Rock,Hike,High,Yes,Single
11,Early bird,Afternoon,Low,PhD,1181,"Spanish, German, French",Extrovert,4,No,No,Order,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Classical,Hike,High,No,Single
12,Night owl,Night,Low,PhD,881,"French, English, Italian",Introvert,5,No,No,Order,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Pop,Travel,Medium,Yes,Single
13,Night owl,Night,Low,High School,1194,"Spanish, German",Balanced,5,No,No,Order,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Pop,Hike,Medium,No,Single
14,Night owl,Afternoon,High,PhD,851,"Italian, English, French",Balanced,5,Yes,Yes,Order,Yes,Yes,No,No,No,Yes,No,Yes,None,Family Time,Medium,Yes,Relationship
15,Flexible,Afternoon,Medium,Bachelor's,522,"German, Italian",Extrovert,3,Yes,Yes,Order,No,No,No,No,No,No,Yes,Yes,Rock,Chill,Low,Yes,Relationship
16,Night owl,Afternoon,Medium,Master's,875,"German, French, English",Balanced,1,No,No,Order,Yes,Yes,No,No,Yes,Yes,No,Yes,Jazz,Party,Low,Yes,Single
17,Night owl,Night,Low,Bachelor's,770,"Spanish, English, German",Introvert,5,No,Yes,Cook,Yes,No,Yes,No,No,No,Yes,Yes,Jazz,Hike,High,No,Single
18,Flexible,Night,Low,High School,579,"French, Spanish",Balanced,3,Yes,No,Cook,Yes,Yes,Yes,No,No,No,Yes,No,Classical,Travel,Medium,No,Single
19,Early bird,Night,High,Master's,561,German,Introvert,1,No,Yes,Order,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Jazz,Family Time,Low,No,Single
20,Early bird,Afternoon,Low,High School,753,"Spanish, French, German",Extrovert,2,Yes,No,Order,Yes,No,Yes,No,Yes,No,Yes,No,Classical,Travel,Medium,No,Single
21,Night owl,Night,High,Master's,770,German,Balanced,3,No,No,Order,Yes,No,Yes,No,No,Yes,Yes,Yes,Reggaeton,Hike,High,No,Single
22,Flexible,Afternoon,Medium,PhD,681,English,Balanced,5,Yes,No,Order,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Jazz,Party,High,Yes,Single
23,Flexible,Morning,Low,Master's,355,"English, Spanish",Introvert,2,Yes,No,Cook,No,Yes,No,No,Yes,Yes,No,No,Rock,Hike,Low,No,Single
24,Flexible,Afternoon,Low,PhD,646,Spanish,Balanced,2,Yes,No,Order,No,Yes,Yes,No,No,No,Yes,Yes,Jazz,Travel,High,No,Single
25,Early bird,Afternoon,Medium,PhD,570,"Spanish, French",Extrovert,4,Yes,No,Order,No,No,Yes,No,Yes,No,No,No,Techno,Chill,High,Yes,Single
26,Flexible,Morning,Low,PhD,636,"Italian, French",Balanced,4,No,No,Cook,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Pop,Chill,High,Yes,Single
27,Flexible,Morning,Low,Bachelor's,390,"Italian, English, German",Extrovert,3,Yes,No,Cook,Yes,Yes,No,No,Yes,Yes,No,Yes,Classical,Family Time,High,Yes,Relationship
28,Night owl,Night,High,High School,879,"Spanish, German",Introvert,3,No,Yes,Order,Yes,No,No,No,Yes,Yes,Yes,No,None,Party,High,No,Relationship
29,Flexible,Night,Low,Master's,501,Spanish,Introvert,3,Yes,Yes,Cook,No,Yes,Yes,No,Yes,No,Yes,Yes,Jazz,Chill,Medium,No,Single
30,Early bird,Night,High,High School,597,"French, Italian",Extrovert,1,No,Yes,Cook,Yes,No,Yes,Yes,No,No,Yes,No,None,Chill,Low,Yes,Single
31,Night owl,Morning,Low,High School,984,English,Introvert,2,No,No,Cook,No,No,No,No,No,No,Yes,Yes,Techno,Hike,High,No,Relationship
32,Night owl,Afternoon,High,Master's,811,French,Balanced,2,Yes,No,Cook,No,Yes,No,Yes,No,No,Yes,No,Pop,Hike,High,No,Single
33,Night owl,Night,Medium,High School,1061,"German, English, Spanish",Extrovert,2,Yes,Yes,Order,No,Yes,No,Yes,No,Yes,Yes,Yes,Pop,Family Time,Low,Yes,Single
34,Early bird,Afternoon,High,Bachelor's,638,Italian,Balanced,2,No,Yes,Cook,No,No,No,No,No,No,Yes,Yes,Classical,Party,High,Yes,Relationship
35,Flexible,Night,High,Bachelor's,550,"German, Spanish, Italian",Balanced,3,Yes,No,Order,No,No,No,Yes,No,Yes,No,No,Rock,Party,Medium,No,Single
36,Night owl,Morning,Medium,PhD,543,"English, Spanish",Extrovert,4,Yes,Yes,Cook,No,No,Yes,No,No,No,No,Yes,Jazz,Chill,High,Yes,Relationship
37,Early bird,Night,Medium,High School,1118,"German, Spanish, French",Balanced,2,Yes,No,Cook,No,No,No,Yes,No,Yes,Yes,No,Classical,Chill,High,No,Relationship
38,Flexible,Night,Medium,High School,1169,"German, Italian",Balanced,3,Yes,Yes,Order,Yes,No,No,No,Yes,No,Yes,No,Jazz,Family Time,Low,Yes,Relationship
39,Early bird,Night,Low,Bachelor's,704,German,Introvert,4,No,No,Cook,No,Yes,Yes,Yes,Yes,Yes,No,No,Pop,Hike,Low,Yes,Relationship
40,Early bird,Morning,Low,Master's,806,"Spanish, English, French",Extrovert,2,Yes,No,Order,No,Yes,No,Yes,No,Yes,No,No,Classical,Hike,Low,Yes,Single
41,Flexible,Afternoon,Medium,Master's,863,"Spanish, Italian, German",Balanced,1,No,Yes,Cook,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Classical,Party,Low,No,Relationship
42,Flexible,Afternoon,Medium,High School,404,"Spanish, Italian",Introvert,1,No,No,Order,No,No,Yes,Yes,No,Yes,No,No,Classical,Chill,High,No,Relationship
43,Early bird,Morning,High,High School,997,"Italian, Spanish, German",Balanced,2,No,No,Cook,Yes,No,Yes,No,No,No,Yes,Yes,None,Party,High,No,Single
44,Flexible,Night,Low,Bachelor's,832,German,Extrovert,2,No,Yes,Order,No,No,Yes,Yes,No,Yes,No,Yes,Jazz,Travel,Medium,Yes,Relationship
45,Early bird,Night,High,Bachelor's,910,Spanish,Balanced,1,No,Yes,Cook,Yes,Yes,Yes,No,No,No,No,Yes,Reggaeton,Family Time,Low,Yes,Relationship
46,Early bird,Morning,Low,Master's,922,"Spanish, English, French",Extrovert,2,No,No,Cook,No,No,No,No,No,Yes,Yes,No,Rock,Party,Medium,Yes,Single
47,Flexible,Afternoon,High,Bachelor's,546,"English, Spanish, German",Extrovert,4,Yes,Yes,Order,No,Yes,No,Yes,Yes,No,No,No,Pop,Chill,Low,No,Single
48,Early bird,Night,Medium,PhD,546,"Italian, German",Balanced,2,No,No,Cook,Yes,No,Yes,No,No,Yes,No,No,Classical,Chill,Low,Yes,Single
49,Flexible,Morning,High,PhD,1076,Italian,Introvert,4,No,No,Cook,No,No,No,Yes,Yes,Yes,Yes,Yes,Reggaeton,Hike,Medium,Yes,Relationship
50,Flexible,Morning,Medium,High School,399,"Italian, French, German",Introvert,1,Yes,No,Order,No,No,No,Yes,No,Yes,No,No,Rock,Party,High,Yes,Single
51,Flexible,Afternoon,Medium,PhD,817,"Spanish, German, Italian",Introvert,3,No,Yes,Cook,Yes,Yes,No,No,Yes,No,No,No,Pop,Chill,High,Yes,Relationship
52,Early bird,Night,Low,Bachelor's,875,"Spanish, Italian",Balanced,2,No,No,Order,Yes,Yes,Yes,No,No,Yes,No,No,Classical,Party,Low,Yes,Single
53,Early bird,Morning,High,High School,385,"French, Italian, English",Introvert,2,Yes,Yes,Order,Yes,No,No,Yes,Yes,Yes,No,Yes,Techno,Party,High,Yes,Relationship
54,Night owl,Night,High,High School,1134,"English, German, Spanish",Balanced,1,Yes,Yes,Order,Yes,Yes,Yes,No,No,No,No,Yes,Techno,Party,High,No,Single
55,Night owl,Afternoon,Low,Master's,516,"French, English",Balanced,2,No,Yes,Order,No,No,Yes,No,No,No,No,Yes,Techno,Party,Low,No,Single
56,Night owl,Night,Medium,PhD,455,"French, Italian, German",Extrovert,4,Yes,No,Order,Yes,No,Yes,No,No,Yes,Yes,Yes,Classical,Travel,High,No,Single
57,Night owl,Afternoon,Low,PhD,968,"Italian, French",Balanced,2,No,No,Order,Yes,Yes,No,Yes,No,No,No,Yes,Reggaeton,Party,Medium,Yes,Single
58,Flexible,Afternoon,Medium,High School,941,German,Extrovert,3,No,Yes,Order,Yes,Yes,Yes,Yes,Yes,No,No,No,Classical,Family Time,High,No,Single
59,Night owl,Afternoon,High,High School,620,English,Extrovert,5,No,No,Cook,Yes,No,Yes,No,Yes,Yes,No,No,None,Hike,Low,No,Single
60,Early bird,Night,High,High School,413,Italian,Introvert,3,No,Yes,Order,No,No,Yes,Yes,No,No,No,No,Jazz,Hike,Medium,Yes,Relationship
61,Flexible,Morning,Low,Bachelor's,1021,"French, German, Italian",Extrovert,5,Yes,No,Cook,Yes,Yes,No,Yes,Yes,No,Yes,No,Pop,Travel,Low,Yes,Single
62,Night owl,Afternoon,Medium,Bachelor's,887,"German, Spanish",Balanced,1,No,No,Cook,No,Yes,No,Yes,No,Yes,Yes,No,Reggaeton,Family Time,High,No,Single
63,Night owl,Afternoon,Low,Bachelor's,707,"English, Italian, French",Introvert,4,Yes,Yes,Order,No,Yes,Yes,Yes,Yes,Yes,No,No,Reggaeton,Party,High,Yes,Relationship
64,Early bird,Afternoon,High,PhD,850,"Spanish, German, English",Extrovert,5,Yes,No,Order,Yes,Yes,No,Yes,No,No,No,No,Classical,Party,Low,No,Single
65,Early bird,Morning,Medium,PhD,623,English,Introvert,3,Yes,No,Cook,Yes,Yes,Yes,No,No,Yes,No,Yes,None,Chill,Low,Yes,Single
66,Night owl,Morning,Low,High School,754,"Italian, Spanish, French",Extrovert,4,No,No,Order,Yes,No,Yes,Yes,No,No,Yes,No,Rock,Party,Low,No,Relationship
67,Early bird,Afternoon,Medium,High School,884,"Italian, German",Extrovert,5,Yes,No,Order,Yes,No,No,No,Yes,No,No,Yes,Pop,Chill,Low,Yes,Relationship
68,Early bird,Morning,Low,High School,764,"English, Italian",Introvert,2,Yes,Yes,Cook,No,No,Yes,Yes,No,No,No,No,None,Chill,Medium,No,Single
